name,group_id,notes,created,popularity,series_count
education,gen,,2012-02-27 10:18:19-06,53,2
freight,gen,,2012-08-06 15:55:19-05,37,2
indexes,gen,,2012-02-27 10:18:19-06,85,2
lodi,rls,Logistics & Distribution Institute,2013-03-17 19:20:11-05,-15,2
monthly,freq,,2012-02-27 10:18:19-06,93,2
nation,geot,,2012-02-27 10:18:19-06,98,2
nsa,seas,Not Seasonally Adjusted,2012-02-27 10:18:19-06,100,2
oklahoma state university,src,,2014-11-17 13:42:23-06,-15,2
public domain: citation requested,cc,,2018-12-17 23:33:13-06,99,2
railroad,gen,,2012-07-25 09:51:25-05,31,2
real estate,gen,,2012-02-27 10:18:19-06,46,2
road,gen,,2012-07-25 10:00:28-05,9,2
state,geot,State,2012-02-27 10:18:19-06,74,2
uofl: logistics and distribution institute,src,Univ. of Louisville: Logistics and Distribution Institute,2013-03-15 09:27:28-05,-15,2
usa,geo,United States of America,2012-02-27 10:18:19-06,100,2
water,gen,,2012-07-24 16:39:30-05,31,2
