name,group_id,notes,created,popularity,series_count
discontinued,gen,,2012-02-27 10:18:19-06,64,12
nation,geot,,2012-02-27 10:18:19-06,98,12
usa,geo,United States of America,2012-02-27 10:18:19-06,100,12
frb,src,Board of Governors,2012-02-27 10:18:19-06,77,8
h6,rls,H.6 Money Stock Measures,2012-08-16 15:21:17-05,41,8
public domain: citation requested,cc,,2018-12-17 23:33:13-06,99,8
sa,seas,Seasonally Adjusted,2012-02-27 10:18:19-06,86,8
m3,gen,M3 Money Stock,2012-02-27 10:18:19-06,30,6
copyrighted: citation required,cc,,2018-12-17 23:33:13-06,86,4
frb stl,src,St. Louis Fed,2012-02-27 10:18:19-06,68,4
mzm,gen,MZM Money Stock,2012-02-27 10:18:19-06,9,4
nsa,seas,Not Seasonally Adjusted,2012-02-27 10:18:19-06,100,4
funds,gen,,2020-05-11 13:13:02-05,25,2
m2,gen,M2 Money Stock,2012-02-27 10:18:19-06,36,2
